y	https://en.wikipedia.org/wiki/IPA_vowel_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/e/ea/Close_front_rounded_vowel.ogg	close front rounded vowel
ɑ̃	https://en.wikipedia.org/wiki/IPA_vowel_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/e/e5/Open_back_unrounded_vowel.ogg	nasalized open back unrounded vowel
oʊ	https://en.wikipedia.org/wiki/IPA_vowel_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/8/84/Close-mid_back_rounded_vowel.ogg http://upload.wikimedia.org/wikipedia/commons/d/d5/Near-close_near-back_rounded_vowel.ogg	close-mid back rounded vowel near-close near-back rounded vowel
ᵻ	https://en.wikipedia.org/wiki/IPA_consonant_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/f/fe/Near-close_central_unrounded_vowel.ogg	near-close central unrounded vowel
eː	https://en.wikipedia.org/wiki/IPA_vowel_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/6/6c/Close-mid_front_unrounded_vowel.ogg	long close-mid front unrounded vowel
θ	https://en.wikipedia.org/wiki/IPA_consonant_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/8/80/Voiceless_dental_fricative.ogg	voiceless dental fricative
aʊ	https://en.wikipedia.org/wiki/IPA_vowel_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/6/65/Open_front_unrounded_vowel.ogg http://upload.wikimedia.org/wikipedia/commons/d/d5/Near-close_near-back_rounded_vowel.ogg	open front unrounded vowel near-close near-back rounded vowel
ts	https://en.wikipedia.org/wiki/IPA_consonant_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/9/9d/Voiceless_alveolar_sibilant_affricate.oga	voiceless alveolar affricate
oː	https://en.wikipedia.org/wiki/IPA_vowel_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/8/84/Close-mid_back_rounded_vowel.ogg	long close-mid back rounded vowel
ɔ̃	https://en.wikipedia.org/wiki/IPA_vowel_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/d/d0/PR-open-mid_back_rounded_vowel.ogg	nasalized open-mid back rounded vowel
ɣ	https://en.wikipedia.org/wiki/IPA_consonant_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/4/47/Voiced_velar_fricative.ogg	voiced velar fricative
ɜ	https://en.wikipedia.org/wiki/IPA_vowel_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/0/01/Open-mid_central_unrounded_vowel.ogg	open-mid central unrounded vowel
ɑ	https://en.wikipedia.org/wiki/IPA_vowel_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/e/e5/Open_back_unrounded_vowel.ogg	open back unrounded vowel
dʒ	https://en.wikipedia.org/wiki/IPA_consonant_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/e/e6/Voiced_palato-alveolar_affricate.ogg	voiced post-alveolar affricate
əl	https://en.wikipedia.org/wiki/IPA_consonant_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/d/d9/Mid-central_vowel.ogg 	schwa voiced alveolar lateral-approximant
x	https://en.wikipedia.org/wiki/IPA_consonant_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/0/0f/Voiceless_velar_fricative.ogg	voiceless velar fricative
ɜː	https://en.wikipedia.org/wiki/IPA_vowel_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/0/01/Open-mid_central_unrounded_vowel.ogg	long open-mid central unrounded vowel
ç	https://en.wikipedia.org/wiki/IPA_consonant_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/a/ab/Voiceless_palatal_fricative.ogg	voiceless palatal fricative
ʒ	https://en.wikipedia.org/wiki/IPA_consonant_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/3/30/Voiced_palato-alveolar_sibilant.ogg	voiced post-alveolar fricative
tʃ	https://en.wikipedia.org/wiki/IPA_consonant_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/9/97/Voiceless_palato-alveolar_affricate.ogg	voiceless post-alveolar affricate
ɔː	https://en.wikipedia.org/wiki/IPA_vowel_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/d/d0/PR-open-mid_back_rounded_vowel.ogg	long open-mid back rounded vowel
ɑːɹ	https://en.wikipedia.org/wiki/IPA_consonant_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/e/e5/Open_back_unrounded_vowel.ogg http://upload.wikimedia.org/wikipedia/commons/1/1f/Alveolar_approximant.ogg	long open back unrounded vowel voiced alveolar approximant
ɛ̃	https://en.wikipedia.org/wiki/IPA_vowel_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/7/71/Open-mid_front_unrounded_vowel.ogg	nasalized open-mid front unrounded vowel
ʎ	https://en.wikipedia.org/wiki/IPA_consonant_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/9/9d/Voiceless_alveolar_sibilant_affricate.oga	voiced palatal lateral-approximant
ɔːɹ	https://en.wikipedia.org/wiki/IPA_consonant_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/d/d0/PR-open-mid_back_rounded_vowel.ogg http://upload.wikimedia.org/wikipedia/commons/1/1f/Alveolar_approximant.ogg	long open-mid back rounded vowel voiced alveolar approximant
ʋ	https://en.wikipedia.org/wiki/IPA_consonant_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/e/ee/Labiodental_approximant.ogg	voiced labio-dental approximant
aː	https://en.wikipedia.org/wiki/IPA_vowel_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/6/65/Open_front_unrounded_vowel.ogg	long open front unrounded vowel
ɕ	https://en.wikipedia.org/wiki/IPA_consonant_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/0/0b/Voiceless_alveolo-palatal_sibilant.ogg	voiceless alveolo-palatal fricative
œ	https://en.wikipedia.org/wiki/IPA_vowel_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/9/9f/Open-mid_front_rounded_vowel_%282%29.ogg	open-mid front rounded vowel
ø	https://en.wikipedia.org/wiki/IPA_vowel_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/5/53/Close-mid_front_rounded_vowel.ogg	close-mid front rounded vowel
oːɹ	https://en.wikipedia.org/wiki/IPA_consonant_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/8/84/Close-mid_back_rounded_vowel.ogg http://upload.wikimedia.org/wikipedia/commons/1/1f/Alveolar_approximant.ogg	long close-mid back rounded vowel voiced alveolar approximant
ɲ	https://en.wikipedia.org/wiki/IPA_consonant_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/4/46/Palatal_nasal.ogg	voiced palatal nasal
yː	https://en.wikipedia.org/wiki/IPA_vowel_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/e/ea/Close_front_rounded_vowel.ogg	long close front rounded vowel
ʔ	https://en.wikipedia.org/wiki/IPA_consonant_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/4/4d/Glottal_stop.ogg	voiceless glottal plosive
iə	https://en.wikipedia.org/wiki/IPA_vowel_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/9/91/Close_front_unrounded_vowel.ogg http://upload.wikimedia.org/wikipedia/commons/d/d9/Mid-central_vowel.ogg	close front unrounded vowel schwa
i5	https://en.wikipedia.org/wiki/IPA_vowel_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/9/91/Close_front_unrounded_vowel.ogg	 close front unrounded vowel
s.	https://en.wikipedia.org/wiki/IPA_consonant_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/a/ac/Voiceless_alveolar_sibilant.ogg	 voiceless alveolar fricative
tɕ	https://en.wikipedia.org/wiki/IPA_consonant_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/f/fd/Voiceless_palatal_affricate.ogg	voiceless palatal affricate
??			empty
nʲ	https://en.wikipedia.org/wiki/IPA_consonant_chart_with_audio	http://upload.wikimedia.org/wikipedia/commons/2/29/Alveolar_nasal.ogg	lateral release voiced alveolar nasal
